"Brocoli", 347.20, 468
"Morron", 2991.35, 642
"Morron", 3014.07, 696
"Mandarina", 20.94, 900
"Durazno", 145.47, 696
"Pepino", 35.23, 525
"Higo", 2523.48, 110
"Calabaza", 14.76, 712
"Repollo", 6.11, 637
"Durazno", 138.86, 728
"Higo", 2429.45, 99
"Repollo", 9.24, 616
"Batata", 20.96, 1080
"Melon", 96.71, 444
"Zuccini", 89.23, 606
"Sandia", 49.98, 1017
"Coliflor", 25.06, 570
"Berenjena", 48.61, 690
"Acelga", 9.87, 783
"Choclo", 56.58, 354
"Pepino", 43.99, 550
"Pomelo", 43.52, 945
"Caqui", 789.37, 105
"Durazno", 155.69, 720
"Repollo", 7.95, 686
"Mandarina", 21.07, 880
"Lima", 1383.89, 196
"Champignon", 3568.58, 97
"Palta", 1116.82, 324
"Choclo", 68.88, 318
"Alcachofa", 162.51, 285
"Ajo", 898.00, 109
"TomCherry", 533.99, 238
"Ciruela", 858.30, 810
"Mandarina", 14.14, 870
"Naranja", 5.65, 1010
"Tomate", 756.55, 783
"Higo", 2523.03, 98
"Ciruela", 994.72, 837
"Pomelo", 42.40, 720
"Berenjena", 47.36, 546
"Caqui", 826.28, 106
"Pomelo", 59.85, 1026
"Palta", 1116.06, 392
"Zanahoria", 35.03, 540
"Zanahoria", 27.23, 690
"Banana", 59.72, 820
"Durazno", 125.62, 936
"Durazno", 163.86, 816
"Acelga", 21.46, 792
"Coliflor", 30.16, 495
"Palta", 491.17, 540
"Naranja", 14.49, 810
"Choclo", 59.18, 327
"Kinoto", 34.36, 232
"Lima", 1199.47, 190
"Morron", 2975.51, 636
"Pomelo", 46.80, 792
"Limon", 345.21, 700
"Pomelo", 51.85, 927
"Lechuga", 36.08, 783
"Cereza", 950.22, 192
"Frambuesa", 2048.40, 80
"Pomelo", 52.45, 909
"Alcachofa", 146.84, 261
"Cereza", 1020.20, 176
"Naranja", 9.16, 1050
"Higo", 2529.37, 107
"Ciruela", 1016.74, 720
"Ajo", 951.38, 109
"Tomate", 733.91, 981
